model,structure,n,seed,cpu_time,wall_time,departures,throughput,L,L_q,W
ForkJoin20Queue,fork_join,20,24,11.984375,12.086915299994871,7983,0.7983,1.9417759421447867,0.007657157852555578,2.4323887537827718
ForkJoin20Queue,fork_join,20,25,12.015625,12.217063799966127,8222,0.8222,1.9892629996783435,0.008191509775833323,2.4194393087793036
ForkJoin20Queue,fork_join,20,26,11.953125,12.12521279999055,7984,0.7984,1.9306845714557426,0.003889142644027771,2.4181920985167116
ForkJoin20Queue,fork_join,20,27,11.796875,11.8542164999526,7926,0.7926,1.9250393840896385,0.004505855264777775,2.428765309222355
ForkJoin20Queue,fork_join,20,28,13.109375,13.263875199947506,7981,0.7981,1.933368413475018,0.0073199081698611095,2.4224638685315347
ForkJoin20Queue,fork_join,20,29,12.546875,12.765490200021304,7966,0.7966,1.9332685371555638,0.0045155633420277804,2.4268999964292792
ForkJoin20Queue,fork_join,20,30,13.1875,13.262129199923947,7976,0.7976,1.932406882785205,0.005247850878361117,2.4227769342843595
Feedback1Queue,feedback,1,1,1.359375,1.3658139000181109,7843,0.7843,1.5950347517315637,0.012014290269916668,2.033704898293464
Feedback1Queue,feedback,1,2,1.34375,1.3546021999791265,7870,0.787,1.573131464792205,0.013150375307611123,1.9988963974487992
Feedback1Queue,feedback,1,3,1.359375,1.4065475999377668,7858,0.7858,1.5952379719746246,0.013694186477249992,2.0300814099957045
Feedback1Queue,feedback,1,4,1.484375,1.4832841999595985,7980,0.798,1.6227369137491134,0.0153781047612778,2.0335049044475104
Feedback1Queue,feedback,1,5,1.375,1.3948612998938188,7871,0.7871,1.5904280622661344,0.009702470624583341,2.0206175355941234
Feedback1Queue,feedback,1,6,1.375,1.3880933000473306,8143,0.8143,1.64977060228916,0.012660720771638895,2.025998529152843
Feedback1Queue,feedback,1,7,1.3125,1.3979493000078946,7988,0.7988,1.6156615314556624,0.016775048598777775,2.022610830565426
Feedback1Queue,feedback,1,8,1.359375,1.3803263999288902,7987,0.7987,1.6249171191972018,0.011979341685444456,2.0344523841206987
Feedback1Queue,feedback,1,9,1.328125,1.3788844000082463,7937,0.7937,1.5947085411701154,0.00937212870908333,2.0092081909665054
Feedback1Queue,feedback,1,10,1.390625,1.384722499991767,8051,0.8051,1.6285320178247167,0.013740894384944448,2.022769864395375
Feedback1Queue,feedback,1,11,1.375,1.3904187000589445,7934,0.7934,1.6066971814533544,0.012230914570805551,2.02507837339722
Feedback1Queue,feedback,1,12,1.4375,1.4850673000328243,8140,0.814,1.6679069016397825,0.01669780729333331,2.0490256776901505
Feedback1Queue,feedback,1,13,1.421875,1.455774600035511,7960,0.796,1.6399328887940843,0.01294394751911112,2.0602171969774927
Feedback1Queue,feedback,1,14,1.453125,1.4637818000046536,8011,0.8011,1.6510419477039453,0.012478963608888893,2.06096860280108
Feedback1Queue,feedback,1,15,1.671875,1.6954172999830917,8027,0.8027,1.6229727708809971,0.016326487379527778,2.021892077838541
Feedback1Queue,feedback,1,16,1.390625,1.3878769000293687,7923,0.7923,1.5688310940592756,0.011427721901944448,1.9800973041263101
Feedback1Queue,feedback,1,17,1.34375,1.369448299985379,8037,0.8037,1.5912242346116912,0.01362982737933333,1.9798733788872604
Feedback1Queue,feedback,1,18,1.4375,1.4571324000135064,7975,0.7975,1.6000038805108376,0.011181590777999994,2.0062744583207994
Feedback1Queue,feedback,1,19,1.40625,1.41209080000408,8219,0.8219,1.630813723741676,0.015188081035916687,1.9841996882122839
Feedback1Queue,feedback,1,20,1.390625,1.4041630999417976,8027,0.8027,1.607277747172551,0.011294183976083347,2.002339288865767
Feedback1Queue,feedback,1,21,1.359375,1.375433100038208,7904,0.7904,1.5921596279003558,0.010422744513555564,2.0143719988617863
Feedback1Queue,feedback,1,22,1.421875,1.4437536000041291,7988,0.7988,1.6197972938370073,0.013236328787694446,2.027788299745878
Feedback1Queue,feedback,1,23,1.40625,1.409239999949932,8081,0.8081,1.6594163712266683,0.01500003786299998,2.0534789892670067
Feedback1Queue,feedback,1,24,1.34375,1.3568004999542609,8133,0.8133,1.6220955559770838,0.01599587209302779,1.9944615221653557
Feedback1Queue,feedback,1,25,1.359375,1.3740909999469295,8109,0.8109,1.617261441493963,0.009919005303916668,1.9944030601726022
Feedback1Queue,feedback,1,26,1.359375,1.3776873999740928,8069,0.8069,1.611785789376199,0.01243920457786112,1.997503766732184
Feedback1Queue,feedback,1,27,1.3125,1.356921299942769,8010,0.801,1.6363620852834977,0.014922022219500007,2.0428989828757773
Feedback1Queue,feedback,1,28,1.34375,1.3595010000281036,7941,0.7941,1.5654207164389582,0.009352061136944437,1.971314338797328
Feedback1Queue,feedback,1,29,1.375,1.4397622999968007,8144,0.8144,1.6428690434805557,0.008298707613722223,2.0172753480851617
Feedback1Queue,feedback,1,30,1.359375,1.4005209000315517,8030,0.803,1.6369349158964184,0.014829290846888889,2.0385241791985282
Feedback2Queue,feedback,2,1,2.125,2.193956800037995,7970,0.797,3.227051379426902,0.02886743449941664,4.048997966658597
Feedback2Queue,feedback,2,2,2.015625,2.107845799997449,8072,0.8072,3.2338474391175844,0.023581303945805546,4.006253021701665
Feedback2Queue,feedback,2,3,2.125,2.1523273999337107,8050,0.805,3.289822085386831,0.0314652225493056,4.086735509797306
Feedback2Queue,feedback,2,4,2.1875,2.1841258999193087,7980,0.798,3.242634801209109,0.02264472879261108,4.063452131840989
Feedback2Queue,feedback,2,5,2.15625,2.18822899996303,7982,0.7982,3.2113384856319533,0.021501646033194464,4.023225364109187
Feedback2Queue,feedback,2,6,2.078125,2.1112653999589384,7974,0.7974,3.16600065300617,0.017617008333138912,3.970404631309468
Feedback2Queue,feedback,2,7,2.09375,2.0962973999558017,8187,0.8187,3.2751628278313016,0.026491537146888906,4.000443175560402
Feedback2Queue,feedback,2,8,2.15625,2.1862427999731153,8077,0.8077,3.2742836701183298,0.0317868225549167,4.053836412180673
Feedback2Queue,feedback,2,9,2.15625,2.1467445999151096,7985,0.7985,3.1834160108004363,0.025215558693444454,3.9867451606768145
Feedback2Queue,feedback,2,10,2.140625,2.1690134999807924,8139,0.8139,3.2631305784896654,0.024634360535722242,4.009252461591922
Feedback2Queue,feedback,2,11,2.046875,2.0523334000026807,7987,0.7987,3.2343494817589846,0.025840759342277766,4.0495173178402215
Feedback2Queue,feedback,2,12,2.296875,2.2979087000712752,8124,0.8124,3.266534129505171,0.026586043239555532,4.020844571030491
Feedback2Queue,feedback,2,13,2.078125,2.0889718000544235,8092,0.8092,3.297561360494729,0.03158095810833337,4.075088186473961
Feedback2Queue,feedback,2,14,2.140625,2.2064471000339836,8007,0.8007,3.249578320130969,0.02117790725027776,4.0584217811052445
Feedback2Queue,feedback,2,15,2.078125,2.1347384001128376,7876,0.7876,3.1999684938340054,0.02676089995822225,4.062936127265116
Feedback2Queue,feedback,2,16,2.15625,2.156406500027515,8091,0.8091,3.281132886449903,0.027514809011361097,4.0552872159805995
Feedback2Queue,feedback,2,17,2.03125,2.0514519000425935,8216,0.8216,3.2730011977783637,0.03092074061188888,3.9836918181333543
Feedback2Queue,feedback,2,18,2.078125,2.073759499937296,7978,0.7978,3.2138066965331573,0.017877168637305534,4.028336295479014
Feedback2Queue,feedback,2,19,2.171875,2.187339899945073,8044,0.8044,3.186189240485782,0.019708717442888882,3.960951318356268
Feedback2Queue,feedback,2,20,2.078125,2.1042274999199435,7982,0.7982,3.250361034441291,0.028031788535027767,4.072113548535819
Feedback2Queue,feedback,2,21,2.03125,2.0562027000123635,7939,0.7939,3.2008301840499915,0.021956883281222223,4.031780052966358
Feedback2Queue,feedback,2,22,2.09375,2.1036604000255466,8006,0.8006,3.1919752240076393,0.017805127775250007,3.9869787959126146
Feedback2Queue,feedback,2,23,2.0,2.0614813999272883,7888,0.7888,3.2214419133694325,0.0202986450695,4.083978084900396
Feedback2Queue,feedback,2,24,2.25,2.2688572000479326,8040,0.804,3.246318534582421,0.02945105834633334,4.037709620127389
Feedback2Queue,feedback,2,25,2.03125,2.060524499975145,8006,0.8006,3.236489538544921,0.02305910150997223,4.042579988190009
Feedback2Queue,feedback,2,26,1.96875,1.9610876999795437,7867,0.7867,3.0619355588898602,0.023151549917055595,3.892126044095412
Feedback2Queue,feedback,2,27,2.09375,2.102736199973151,8015,0.8015,3.207198682683779,0.02410349573855554,4.001495549199974
Feedback2Queue,feedback,2,28,2.078125,2.096524100052193,7935,0.7935,3.2328272290081337,0.030947433063888884,4.074136394465197
Feedback2Queue,feedback,2,29,2.125,2.165833199978806,7999,0.7999,3.2233036247127487,0.02469156248947221,4.029633235045316
Feedback2Queue,feedback,2,30,2.0625,2.077293200069107,8022,0.8022,3.198548866185697,0.022351279335833314,3.987221224365117
Feedback3Queue,feedback,3,1,2.984375,3.029866899945773,7923,0.7923,4.851326292506714,0.0360368886016945,6.123092632218496
Feedback3Queue,feedback,3,2,2.9375,2.930695699993521,8020,0.802,4.8091131256314466,0.03067379338872222,5.9964004060242475
Feedback3Queue,feedback,3,3,2.90625,2.904463700018823,7956,0.7956,4.810484391959057,0.03244525655119439,6.046360472547835
Feedback3Queue,feedback,3,4,2.875,2.9273914999794215,7984,0.7984,4.854599947142287,0.04239471060830553,6.080410755438736
Feedback3Queue,feedback,3,5,2.8125,2.8921368999872357,7956,0.7956,4.756321049053955,0.03748765055194444,5.9782818615560025
Feedback3Queue,feedback,3,6,2.890625,2.883960400009528,7994,0.7994,4.816404499760849,0.03512730214416653,6.0250243929958085
Feedback3Queue,feedback,3,7,2.859375,2.900537900044583,8262,0.8262,4.8343685639076694,0.034011951038972275,5.851329658566533
Feedback3Queue,feedback,3,8,2.96875,2.980574000044726,8027,0.8027,4.88860486007356,0.03751337803736115,6.090201644541622
Feedback3Queue,feedback,3,9,3.203125,3.2702249999856576,8021,0.8021,4.841409582501532,0.029543709620305544,6.035917694179693
Feedback3Queue,feedback,3,10,3.296875,3.2996157000306994,8126,0.8126,4.929382467155395,0.03619906296802773,6.066185659802357
Feedback3Queue,feedback,3,11,2.953125,2.986119500012137,8071,0.8071,4.781469278063349,0.03111612084086111,5.924258800722771
Feedback3Queue,feedback,3,12,3.109375,3.146097299992107,8145,0.8145,4.931289217133922,0.04397007085930561,6.054375957193274
Feedback3Queue,feedback,3,13,3.625,3.686115499935113,8066,0.8066,4.856330249132572,0.03760846212327775,6.020741692452979
Feedback3Queue,feedback,3,14,2.953125,2.9731892000418156,7961,0.7961,4.791765719539733,0.030825241204333373,6.019050018263702
Feedback3Queue,feedback,3,15,2.9375,2.9419855000451207,8042,0.8042,4.892160625240432,0.0396931520015278,6.083263647401681
Feedback3Queue,feedback,3,16,2.703125,2.767105899984017,7819,0.7819,4.659614233102653,0.02577025433716663,5.959348040801449
Feedback3Queue,feedback,3,17,3.046875,3.0509453000267968,8028,0.8028,4.917250966645451,0.03658392261852777,6.1251257681184
